feature_name,section_original,section_mapped,term,canonical_term,display_term,term_type,ngram_len,pos_pattern,is_generic,role_prior,source_corpus,document_frequency,total_frequency,matched_surface_terms,search_terms,wiki_url,wikidata_id,notes
abstract__shapes,abstract,intro,shapes,"Shapes, Inc.",shapes,other,unigram,NN,false,background,initial_corpus,2,2,shapes,"shapes; shapes, inc.",nan,Q131682206,pos=fallback
abstract__vision transformer,abstract,intro,vision transformer,vision transformer,vision transformer,model,bigram,NN NN,false,core_method,initial_corpus,2,2,vision transformer,vision transformer,https://en.wikipedia.org/wiki/Vision_transformer,Q107675654,pos=fallback
introduction__natural language processing,introduction,intro,natural language processing,Natural language processing,natural language processing,other,trigram,JJ NN NN,false,background,both,50,125,natural language processing; nlp,natural language processing; nlp,https://en.wikipedia.org/wiki/Natural_language_processing,Q30642,pos=fallback
introduction__training data,introduction,intro,training data,training set,training data,dataset,bigram,NN NN,false,dataset,both,45,91,training data; training dataset; training set,training data; training dataset; training set,https://en.wikipedia.org/wiki/Training_set,Q3997298,pos=fallback
introduction__machine learning,introduction,intro,machine learning,machine learning,machine learning,other,bigram,NN NN,false,background,both,36,52,machine learning; machine-learning; statistical learning,machine learning; machine-learning; statistical learning,https://en.wikipedia.org/wiki/Machine_learning,Q2539,pos=fallback
introduction__question answering,introduction,intro,question answering,question answering,question answering,task,bigram,NN NN,false,task,both,32,51,question answering; question-answering,question answering; question-answering,https://en.wikipedia.org/wiki/Question_answering,Q1074173,pos=fallback
introduction__embeddings,introduction,intro,embeddings,embedding,embeddings,component,unigram,NN,false,core_method,both,31,116,embedding; embeddings,embedding; embeddings,https://en.wikipedia.org/wiki/Embedding_%28machine_learning%29,Q133284072,pos=fallback
introduction__transformer,introduction,intro,transformer,transformer,transformer,model,unigram,NN,false,core_method,both,29,95,transformer; transformer architecture; transformer model; transformer models; transformers,transformer; transformer architecture; transformer model; transformer models; transformers,https://en.wikipedia.org/wiki/Transformer_%28deep_learning%29,Q85810444,pos=fallback
introduction__reinforcement learning,introduction,intro,reinforcement learning,reinforcement learning,reinforcement learning,method,bigram,NN NN,false,core_method,both,28,75,reinforcement learning,reinforcement learning,https://en.wikipedia.org/wiki/Reinforcement_learning,Q830687,pos=fallback
introduction__convolutional neural networks,introduction,intro,convolutional neural networks,Convolutional neural network,convolutional neural networks,model,trigram,JJ JJ NN,false,core_method,both,27,54,cnn,cellular neural network; cnn; convolutional neural network; convolutional neural networks,https://en.wikipedia.org/wiki/Cellular_neural_network,Q5058375,pos=fallback
introduction__deep neural networks,introduction,intro,deep neural networks,deep neural network,deep neural networks,model,trigram,JJ JJ NN,false,core_method,both,27,44,deep network; deep networks; deep neural network; deep neural networks; dnn,deep network; deep networks; deep neural network; deep neural networks; dnn,https://en.wikipedia.org/wiki/Deep_neural_network,Q51289900,pos=fallback
introduction__end-to-end,introduction,intro,end-to-end,end-to-end reinforcement learning,end-to-end,other,bigram,NN NN,false,background,both,26,57,deep rl; end-to-end; end-to-end learning,deep rl; end-to-end; end-to-end learning; end-to-end reinforcement learning,https://en.wikipedia.org/wiki/End-to-end_reinforcement_learning,Q30589144,pos=fallback
introduction__deep learning,introduction,intro,deep learning,deep learning,deep learning,method,bigram,JJ NN,false,core_method,both,25,49,deep learning; deep-learning,deep learning; deep-learning,https://en.wikipedia.org/wiki/Deep_learning,Q197536,pos=fallback
introduction__attention,introduction,intro,attention,attention,attention,component,unigram,NN,false,core_method,both,24,83,attention; attention mechanism,attention; attention mechanism,https://en.wikipedia.org/wiki/Attention_%28machine_learning%29,Q103701642,pos=fallback
introduction__gradient descent,introduction,intro,gradient descent,gradient descent,gradient descent,method,bigram,JJ NN,false,core_method,both,24,38,gradient descent,gradient descent,https://en.wikipedia.org/wiki/Gradient_descent,Q1199743,pos=fallback
introduction__BERT,introduction,intro,BERT,bidirectional encoder representations from transformers,BERT,model,unigram,NN,false,core_method,both,23,78,bert,bert; bidirectional encoder representations from transformers,https://en.wikipedia.org/wiki/BERT_%28language_model%29,Q61726893,pos=fallback
introduction__speech recognition,introduction,intro,speech recognition,speech recognition,speech recognition,task,bigram,NN NN,false,task,both,21,65,asr; automatic speech recognition; speech recognition,asr; automatic speech recognition; speech recognition,https://en.wikipedia.org/wiki/Speech_recognition,Q189436,pos=fallback
introduction__machine translation,introduction,intro,machine translation,machine translation,machine translation,task,bigram,NN NN,false,task,both,21,42,machine translation,machine translation,https://en.wikipedia.org/wiki/Machine_translation,Q79798,pos=fallback
introduction__representation learning,introduction,intro,representation learning,feature learning,representation learning,method,bigram,NN NN,false,core_method,both,21,36,feature learning; representation learning,feature learning; representation learning,https://en.wikipedia.org/wiki/Feature_learning,Q17013334,pos=fallback
introduction__segmentation,introduction,intro,segmentation,speech segmentation,segmentation,task,unigram,NN,false,task,both,18,49,segmentation,segmentation; speech segmentation,https://en.wikipedia.org/wiki/Speech_segmentation,Q2266173,pos=fallback
introduction__stochastic gradient descent,introduction,intro,stochastic gradient descent,stochastic gradient descent,stochastic gradient descent,method,trigram,JJ JJ NN,false,core_method,both,18,46,sgd; stochastic gradient descent,sgd; stochastic gradient descent,https://en.wikipedia.org/wiki/Stochastic_gradient_descent,Q7617819,pos=fallback
introduction__object detection,introduction,intro,object detection,object detection,object detection,task,bigram,NN NN,false,task,both,17,42,object detection; object-detection,object detection; object-detection,https://en.wikipedia.org/wiki/Object_detection,Q3045304,pos=fallback
introduction__recurrent neural networks,introduction,intro,recurrent neural networks,Recurrent neural network,recurrent neural networks,model,trigram,JJ JJ NN,false,core_method,both,16,30,recurrent neural network; recurrent neural networks; rnn,recurrent neural network; recurrent neural networks; rnn,https://en.wikipedia.org/wiki/Recurrent_neural_network,Q1457734,pos=fallback
introduction__supervised learning,introduction,intro,supervised learning,supervised learning,supervised learning,method,bigram,JJ NN,false,core_method,both,16,21,supervised learning; supervised machine learning,supervised learning; supervised machine learning,https://en.wikipedia.org/wiki/Supervised_learning,Q334384,pos=fallback
introduction__bias,introduction,intro,bias,prediction bias,bias,component,unigram,NN,false,core_method,both,15,29,bias,bias; prediction bias,nan,Q139934379,pos=fallback
introduction__learning algorithms,introduction,intro,learning algorithms,machine learning algorithm,learning algorithms,method,bigram,NN NN,false,core_method,both,12,22,learning algorithm; learning algorithms; machine learning algorithm; machine learning algorithms,learning algorithm; learning algorithms; machine learning algorithm; machine learning algorithms,https://en.wikipedia.org/wiki/Machine_learning_algorithm,Q110688486,pos=fallback
introduction__backpropagation,introduction,intro,backpropagation,backpropagation,backpropagation,method,unigram,NN,false,core_method,both,12,20,back-propagation; backpropagation,back-propagation; backpropagation,https://en.wikipedia.org/wiki/Backpropagation,Q798503,pos=fallback
introduction__GPT-3,introduction,intro,GPT-3,GPT-3,GPT-3,model,unigram,CD,false,core_method,both,11,52,gpt-3,gpt-3,https://en.wikipedia.org/wiki/GPT-3,Q95726734,pos=fallback
introduction__summarization,introduction,intro,summarization,automatic summarization,summarization,task,unigram,NN,false,task,both,11,32,summarization; text summarization,automatic summarization; summarization; text summarization,https://en.wikipedia.org/wiki/Automatic_summarization,Q1394144,pos=fallback
introduction__unsupervised learning,introduction,intro,unsupervised learning,unsupervised learning,unsupervised learning,method,bigram,JJ NN,false,core_method,both,11,22,unsupervised learning,unsupervised learning,https://en.wikipedia.org/wiki/Unsupervised_learning,Q1152135,pos=fallback
introduction__autoencoders,introduction,intro,autoencoders,autoencoder,autoencoders,method,unigram,NN,false,core_method,both,11,14,autoencoder; autoencoders,autoencoder; autoencoders,https://en.wikipedia.org/wiki/Autoencoder,Q786435,pos=fallback
introduction__policy gradient,introduction,intro,policy gradient,policy-gradient method,policy gradient,method,bigram,NN JJ,false,core_method,both,10,24,policy gradient; policy gradient methods,policy gradient; policy gradient methods; policy-gradient method,https://en.wikipedia.org/wiki/Policy_gradient_method,Q113840014,pos=fallback
introduction__self-attention,introduction,intro,self-attention,self-attention,self-attention,component,unigram,NN,false,core_method,both,10,19,self-attention,self-attention,nan,Q113364820,pos=fallback
introduction__GPT,introduction,intro,GPT,generative pre-trained transformer,GPT,model,unigram,NN,false,core_method,both,10,18,generative pre-trained transformer; gpt,generative pre-trained transformer; gpt,https://en.wikipedia.org/wiki/Generative_pre-trained_transformer,Q116777014,pos=fallback
introduction__parsing,introduction,intro,parsing,parsing,parsing,other,unigram,NN,false,background,both,10,10,parsing,parsing,https://en.wikipedia.org/wiki/Parsing,Q194152,pos=fallback
introduction__large language models,introduction,intro,large language models,Large language model,large language models,model,trigram,JJ NN NN,false,core_method,both,9,42,large language model; large language models; llm; llms,large language model; large language models; llm; llms,https://en.wikipedia.org/wiki/Large_language_model,Q115305900,pos=fallback
introduction__diffusion models,introduction,intro,diffusion models,diffusion model,diffusion models,method,bigram,NN NN,false,core_method,round2_corpus,8,32,diffusion model; diffusion models; diffusion probabilistic model; diffusion probabilistic models; text-to-image diffusion model,diffusion model; diffusion models; diffusion probabilistic model; diffusion probabilistic models; text-to-image diffusion model,https://en.wikipedia.org/wiki/Diffusion_model,Q114617315,pos=fallback
introduction__masked language model,introduction,intro,masked language model,masked language model,masked language model,model,trigram,JJ NN NN,false,core_method,both,8,13,masked language model; masked language modeling; masked language models,masked language model; masked language modeling; masked language models,nan,Q24868018,pos=fallback
introduction__autoregressive models,introduction,intro,autoregressive models,autoregressive model,autoregressive models,other,bigram,JJ NN,false,background,both,8,12,ar models; autoregressive model; autoregressive models,ar models; autoregressive model; autoregressive models,https://en.wikipedia.org/wiki/Autoregressive_model,Q2202883,pos=fallback
introduction__textual entailment,introduction,intro,textual entailment,textual entailment,textual entailment,task,bigram,JJ NN,false,task,both,8,12,natural language inference; textual entailment,natural language inference; textual entailment,https://en.wikipedia.org/wiki/Textual_entailment,Q6588467,pos=fallback
introduction__vision and language,introduction,intro,vision and language,Vision and Language,vision and language,other,trigram,NN NN NN,false,background,both,7,23,vision and language; vision-and-language,vision and language; vision-and-language,nan,Q111467776,pos=fallback
introduction__few-shot learning,introduction,intro,few-shot learning,few-shot learning,few-shot learning,other,bigram,NN NN,false,background,both,7,15,few-shot learning,few-shot learning,nan,Q110797734,pos=fallback
introduction__feedforward neural networks,introduction,intro,feedforward neural networks,feedforward neural network,feedforward neural networks,other,trigram,NN JJ NN,false,background,both,7,13,feed-forward neural network; feedforward neural network; feedforward neural networks; ffn,feed-forward neural network; feedforward neural network; feedforward neural networks; ffn,https://en.wikipedia.org/wiki/Feedforward_neural_network,Q5441227,pos=fallback
introduction__semi-supervised learning,introduction,intro,semi-supervised learning,semi-supervised learning,semi-supervised learning,method,bigram,JJ NN,false,core_method,both,7,10,semi-supervised learning,semi-supervised learning,https://en.wikipedia.org/wiki/Semi-supervised_learning,Q1041418,pos=fallback
introduction__word embeddings,introduction,intro,word embeddings,word embedding,word embeddings,component,bigram,NN NN,false,core_method,both,7,10,word embeddings; word vector,word embedding; word embeddings; word vector,https://en.wikipedia.org/wiki/Word_embedding,Q18395344,pos=fallback
introduction__deep reinforcement learning,introduction,intro,deep reinforcement learning,deep reinforcement learning,deep reinforcement learning,other,trigram,JJ NN NN,false,background,both,7,9,deep reinforcement learning,deep reinforcement learning,https://en.wikipedia.org/wiki/Deep_reinforcement_learning,Q65079156,pos=fallback
introduction__neural network models,introduction,intro,neural network models,neural network model,neural network models,other,trigram,JJ NN NN,false,background,initial_corpus,7,9,neural network model; neural network models,neural network model; neural network models,nan,Q110404576,pos=fallback
introduction__graph neural networks,introduction,intro,graph neural networks,graph neural network,graph neural networks,model,trigram,NN JJ NN,false,core_method,both,6,33,gnn; graph neural network; graph neural networks,gnn; graph neural network; graph neural networks,https://en.wikipedia.org/wiki/Graph_neural_network,Q107750691,pos=fallback
introduction__dqn,introduction,intro,dqn,Deep Q-Network,dqn,model,unigram,NN,false,core_method,both,6,27,deep q network; deep q-network; dqn,deep q network; deep q-network; dqn,nan,Q20722857,pos=fallback
introduction__neural machine translation,introduction,intro,neural machine translation,neural machine translation,neural machine translation,task,trigram,JJ NN NN,false,task,initial_corpus,6,16,neural machine translation; nmt,neural machine translation; nmt,https://en.wikipedia.org/wiki/Neural_machine_translation,Q25053937,pos=fallback
introduction__optimization methods,introduction,intro,optimization methods,optimization method,optimization methods,method,bigram,NN NN,false,core_method,both,6,12,optimization method; optimization methods; optimization techniques,optimization method; optimization methods; optimization techniques,nan,Q112631979,pos=fallback
introduction__visual recognition,introduction,intro,visual recognition,optical character recognition,visual recognition,other,bigram,JJ NN,false,background,initial_corpus,6,10,visual recognition,optical character recognition; visual recognition,https://en.wikipedia.org/wiki/Optical_character_recognition,Q167555,pos=fallback
introduction__artificial intelligence,introduction,intro,artificial intelligence,artificial intelligence model,artificial intelligence,other,bigram,JJ NN,false,background,both,6,8,artificial intelligence,artificial intelligence; artificial intelligence model,nan,Q117349473,pos=fallback
introduction__visual question answering,introduction,intro,visual question answering,visual question answering,visual question answering,task,trigram,JJ NN NN,false,task,both,6,8,visual question answering; visual question-answering,visual question answering; visual question-answering,nan,Q124169176,pos=fallback
introduction__image recognition,introduction,intro,image recognition,image recognition,image recognition,other,bigram,NN NN,false,background,both,6,7,image recognition,image recognition,https://en.wikipedia.org/wiki/Image_recognition,Q28038508,pos=fallback
introduction__supervised fine-tuning,introduction,intro,supervised fine-tuning,supervised fine-tuning,supervised fine-tuning,method,bigram,JJ NN,false,core_method,both,6,6,sft; supervised fine-tuning; supervised finetuning,sft; supervised fine-tuning; supervised finetuning,nan,Q118129371,pos=fallback
introduction__transfer learning,introduction,intro,transfer learning,transfer learning,transfer learning,method,bigram,NN NN,false,core_method,both,5,25,inductive transfer; transfer learning; transfer-learning,inductive transfer; transfer learning; transfer-learning,https://en.wikipedia.org/wiki/Transfer_learning,Q6027324,pos=fallback
introduction__YOLO,introduction,intro,YOLO,You Only Look Once,YOLO,model,unigram,NN,false,core_method,initial_corpus,5,20,yolo,yolo; you only look once,https://en.wikipedia.org/wiki/You_Only_Look_Once,Q97732222,pos=fallback
introduction__sentence embeddings,introduction,intro,sentence embeddings,Sentence Embedding,sentence embeddings,component,bigram,NN NN,false,core_method,both,5,18,sentence embedding; sentence embeddings; sentence representation; text embedding,sentence embedding; sentence embeddings; sentence representation; text embedding,nan,Q140197859,pos=fallback
introduction__aggregation,introduction,intro,aggregation,aggregation,aggregation,task,unigram,NN,false,task,both,5,14,aggregation; sentence segmentation,aggregation; sentence segmentation,https://en.wikipedia.org/wiki/Aggregation_%28linguistics%29,Q4692263,pos=fallback
introduction__bag-of-words,introduction,intro,bag-of-words,bag-of-words model,bag-of-words,method,bigram,NN NN,false,core_method,both,5,12,bag of words; bag-of-words; bow,bag of words; bag-of-words; bag-of-words model; bow,https://en.wikipedia.org/wiki/Bag-of-words_model,Q3460803,pos=fallback
introduction__text generation,introduction,intro,text generation,natural language generation,text generation,task,bigram,NN NN,false,task,both,5,12,natural language generation; nlg; text generation,natural language generation; nlg; text generation,https://en.wikipedia.org/wiki/Natural_language_generation,Q1513879,pos=fallback
introduction__self-supervised learning,introduction,intro,self-supervised learning,self-supervised learning,self-supervised learning,method,bigram,JJ NN,false,core_method,both,5,11,self-supervised learning,self-supervised learning,https://en.wikipedia.org/wiki/Self-supervised_learning,Q77562367,pos=fallback
introduction__gcn,introduction,intro,gcn,graph convolutional network,gcn,model,unigram,NN,false,core_method,round2_corpus,5,10,gcn; graph convolutional network; graph convolutional networks,gcn; graph convolutional network; graph convolutional networks,https://en.wikipedia.org/wiki/Graph_convolutional_network,Q54811238,pos=fallback
introduction__alexnet,introduction,intro,alexnet,AlexNet,alexnet,model,unigram,NN,false,core_method,both,5,8,alexnet,alexnet,https://en.wikipedia.org/wiki/AlexNet,Q28325009,pos=fallback
introduction__shapes,introduction,intro,shapes,"Shapes, Inc.",shapes,other,unigram,NN,false,background,both,5,7,shapes,"shapes; shapes, inc.",nan,Q131682206,pos=fallback
introduction__activation function,introduction,intro,activation function,activation function,activation function,component,bigram,NN NN,false,core_method,initial_corpus,5,6,activation function,activation function,https://en.wikipedia.org/wiki/Activation_function,Q4677469,pos=fallback
introduction__deep generative models,introduction,intro,deep generative models,deep generative model,deep generative models,other,trigram,JJ JJ NN,false,background,both,5,6,deep generative models,deep generative model; deep generative models,nan,Q105342324,pos=fallback
introduction__heuristic,introduction,intro,heuristic,heuristic,heuristic,method,unigram,JJ,false,core_method,both,5,6,heuristic,heuristic,https://en.wikipedia.org/wiki/Heuristic_%28computer_science%29,Q1981968,pos=fallback
introduction__roberta,introduction,intro,roberta,RoBERTa,roberta,model,unigram,NN,false,core_method,both,5,6,roberta,roberta,nan,Q85124095,pos=fallback
introduction__entity recognition,introduction,intro,entity recognition,named-entity recognition,entity recognition,task,bigram,NN NN,false,task,both,4,15,entity recognition; named entity recognition; ner,entity recognition; named entity recognition; named-entity recognition; ner,https://en.wikipedia.org/wiki/Named-entity_recognition,Q403574,pos=fallback
introduction__meta-learning,introduction,intro,meta-learning,meta-learning,meta-learning,other,unigram,NN,false,background,initial_corpus,4,13,learning to learn; meta-learning,learning to learn; meta-learning,https://en.wikipedia.org/wiki/Meta-learning_%28computer_science%29,Q6822311,pos=fallback
introduction__bleu,introduction,intro,bleu,BLEU,bleu,metric,unigram,NN,false,metric,both,4,12,bilingual evaluation understudy; bleu,bilingual evaluation understudy; bleu,https://en.wikipedia.org/wiki/BLEU,Q3500773,pos=fallback
introduction__deep learning models,introduction,intro,deep learning models,deep learning model,deep learning models,other,trigram,JJ NN NN,false,background,both,4,5,deep learning model; deep learning models,deep learning model; deep learning models,nan,Q113364611,pos=fallback
introduction__machine learning models,introduction,intro,machine learning models,machine learning model,machine learning models,other,trigram,NN NN NN,false,background,both,4,5,machine learning model; machine learning models,machine learning model; machine learning models,nan,Q115215420,pos=fallback
introduction__sentiment analysis,introduction,intro,sentiment analysis,sentiment analysis,sentiment analysis,task,bigram,NN NN,false,task,both,4,5,sentiment analysis,sentiment analysis,https://en.wikipedia.org/wiki/Sentiment_analysis,Q2271421,pos=fallback
introduction__adaptive learning,introduction,intro,adaptive learning,online machine learning,adaptive learning,other,bigram,JJ NN,false,background,both,4,4,adaptive learning; online learning,adaptive learning; online learning; online machine learning,https://en.wikipedia.org/wiki/Online_machine_learning,Q7094097,pos=fallback
introduction__part-of-speech tagging,introduction,intro,part-of-speech tagging,part-of-speech tagging,part-of-speech tagging,other,trigram,NN NN NN,false,background,both,4,4,part-of-speech tagging; pos tagging,part-of-speech tagging; pos tagging,https://en.wikipedia.org/wiki/Part-of-speech_tagging,Q1271424,pos=fallback
introduction__tts,introduction,intro,tts,speech synthesis,tts,other,unigram,NN,false,background,round2_corpus,3,21,speech synthesis; text-to-speech; tts,speech synthesis; text-to-speech; tts,https://en.wikipedia.org/wiki/Speech_synthesis,Q16346,pos=fallback
introduction__open-domain qa,introduction,intro,open-domain qa,open-domain question answering,open-domain qa,task,bigram,NN NN,false,task,both,3,13,open-domain qa; open-domain question answering; open-domain question-answering,open-domain qa; open-domain question answering; open-domain question-answering,nan,Q121409954,pos=fallback
introduction__PaLM,introduction,intro,PaLM,PaLM,PaLM,model,unigram,NN,false,core_method,initial_corpus,3,9,palm,palm,https://en.wikipedia.org/wiki/PaLM,Q117232125,pos=fallback
introduction__rlhf,introduction,intro,rlhf,reinforcement learning from human feedback,rlhf,other,unigram,NN,false,background,initial_corpus,3,9,rlhf,reinforcement learning from human feedback; rlhf,https://en.wikipedia.org/wiki/Reinforcement_learning_from_human_feedback,Q115570683,pos=fallback
introduction__seq2seq,introduction,intro,seq2seq,sequence-to-sequence learning,seq2seq,other,unigram,CD,false,background,both,3,9,seq2seq,seq2seq; sequence-to-sequence learning,https://en.wikipedia.org/wiki/Seq2seq,Q41589189,pos=fallback
introduction__distillation,introduction,intro,distillation,knowledge distillation,distillation,method,unigram,NN,false,core_method,both,3,7,distillation; knowledge distillation,distillation; knowledge distillation,https://en.wikipedia.org/wiki/Knowledge_distillation,Q74253442,pos=fallback
introduction__multi-task learning,introduction,intro,multi-task learning,multi-task learning,multi-task learning,other,bigram,NN NN,false,background,both,3,5,multi-task learning; multitask learning,multi-task learning; multitask learning,https://en.wikipedia.org/wiki/Multi-task_learning,Q6934509,pos=fallback
introduction__one-shot learning,introduction,intro,one-shot learning,one-shot learning,one-shot learning,other,bigram,NN NN,false,background,initial_corpus,3,5,one-shot learning,one-shot learning,https://en.wikipedia.org/wiki/One-shot_learning_%28computer_vision%29,Q7092335,pos=fallback
introduction__semantic role labeling,introduction,intro,semantic role labeling,semantic role labeling,semantic role labeling,other,trigram,JJ NN NN,false,background,both,3,5,semantic role labeling; srl,semantic role labeling; srl,https://en.wikipedia.org/wiki/Semantic_role_labeling,Q7449085,pos=fallback
introduction__support vector machines,introduction,intro,support vector machines,support vector machine,support vector machines,other,trigram,NN NN NN,false,background,initial_corpus,3,5,support vector machines; svm; svms,support vector machine; support vector machines; svm; svms,https://en.wikipedia.org/wiki/Support_vector_machine,Q282453,pos=fallback
introduction__ResNet,introduction,intro,ResNet,residual neural network,ResNet,model,unigram,NN,false,core_method,initial_corpus,3,4,resnet,residual neural network; resnet,https://en.wikipedia.org/wiki/Residual_neural_network,Q43744058,pos=fallback
introduction__text analysis,introduction,intro,text analysis,text mining,text analysis,other,bigram,NN NN,false,background,round2_corpus,3,4,text analysis; text mining,text analysis; text mining,https://en.wikipedia.org/wiki/Text_mining,Q676880,pos=fallback
introduction__zero-shot learning,introduction,intro,zero-shot learning,zero-shot learning,zero-shot learning,other,bigram,NN NN,false,background,initial_corpus,3,4,zero-shot learning,zero-shot learning,https://en.wikipedia.org/wiki/Zero-shot_learning,Q96416030,pos=fallback
introduction__feature engineering,introduction,intro,feature engineering,feature engineering,feature engineering,other,bigram,NN NN,false,background,round2_corpus,3,3,feature engineering,feature engineering,https://en.wikipedia.org/wiki/Feature_engineering,Q22245680,pos=fallback
introduction__pose estimation,introduction,intro,pose estimation,pose estimation,pose estimation,other,bigram,NN NN,false,background,both,3,3,pose estimation,pose estimation,nan,Q133567829,pos=fallback
introduction__GPT-4,introduction,intro,GPT-4,GPT-4,GPT-4,model,unigram,CD,false,core_method,initial_corpus,2,25,gpt-4,gpt-4,https://en.wikipedia.org/wiki/GPT-4,Q116709136,pos=fallback
introduction__bart,introduction,intro,bart,BART,bart,model,unigram,NN,false,core_method,initial_corpus,2,14,bart,bart,nan,Q108212505,pos=fallback
introduction__xgboost,introduction,intro,xgboost,XGBoost,xgboost,other,unigram,NN,false,background,round2_corpus,2,11,xgboost,xgboost,https://en.wikipedia.org/wiki/XGBoost,Q23793561,pos=fallback
introduction__xlnet,introduction,intro,xlnet,XLNet,xlnet,model,unigram,NN,false,core_method,initial_corpus,2,8,xlnet,xlnet,nan,Q107031747,pos=fallback
introduction__wavenet,introduction,intro,wavenet,Google Wavenet,wavenet,other,unigram,NN,false,background,round2_corpus,2,5,wavenet,google wavenet; wavenet,https://en.wikipedia.org/wiki/WaveNet,Q30315025,pos=fallback
introduction__manifold learning,introduction,intro,manifold learning,nonlinear dimensionality reduction,manifold learning,other,bigram,NN NN,false,background,initial_corpus,2,4,manifold learning,manifold learning; nonlinear dimensionality reduction,https://en.wikipedia.org/wiki/Nonlinear_dimensionality_reduction,Q7049464,pos=fallback
introduction__image-to-image translation,introduction,intro,image-to-image translation,image-to-image translation,image-to-image translation,other,trigram,NN NN NN,false,background,both,2,3,image-to-image translation,image-to-image translation,nan,Q45318647,pos=fallback
introduction__pattern recognition,introduction,intro,pattern recognition,pattern recognition,pattern recognition,other,bigram,NN NN,false,background,initial_corpus,2,3,pattern recognition,pattern recognition,https://en.wikipedia.org/wiki/Pattern_recognition,Q378859,pos=fallback
introduction__sift,introduction,intro,sift,scale-invariant feature transform,sift,other,unigram,NN,false,background,initial_corpus,2,3,sift,scale-invariant feature transform; sift,https://en.wikipedia.org/wiki/Scale-invariant_feature_transform,Q767770,pos=fallback
introduction__word segmentation,introduction,intro,word segmentation,word segmentation,word segmentation,task,bigram,NN NN,false,task,both,2,3,word segmentation,word segmentation,https://en.wikipedia.org/wiki/Word_segmentation,Q25394236,pos=fallback
introduction__GPT-2,introduction,intro,GPT-2,GPT-2,GPT-2,model,unigram,CD,false,core_method,initial_corpus,2,2,gpt-2,gpt-2,https://en.wikipedia.org/wiki/GPT-2,Q95726727,pos=fallback
introduction__GloVe,introduction,intro,GloVe,GloVe,GloVe,other,unigram,NN,false,background,initial_corpus,2,2,glove,glove,https://en.wikipedia.org/wiki/GloVe,Q22826110,pos=fallback
introduction__bard,introduction,intro,bard,Gemini,bard,other,unigram,NN,false,background,initial_corpus,2,2,bard,bard; gemini,https://en.wikipedia.org/wiki/Gemini_%28language_model%29,Q123688361,pos=fallback
introduction__bloom,introduction,intro,bloom,BLOOM,bloom,other,unigram,NN,false,background,initial_corpus,2,2,bloom,bloom,https://en.wikipedia.org/wiki/BLOOM_%28language_model%29,Q113013356,pos=fallback
introduction__claude,introduction,intro,claude,Claude,claude,other,unigram,NN,false,background,initial_corpus,2,2,claude,claude,https://en.wikipedia.org/wiki/Claude_%28language_model%29,Q118876059,pos=fallback
introduction__mrr,introduction,intro,mrr,mean reciprocal rank,mrr,metric,unigram,NN,false,metric,both,2,2,mrr,mean reciprocal rank; mrr,https://en.wikipedia.org/wiki/Mean_reciprocal_rank,Q3853443,pos=fallback
introduction__multi-head attention,introduction,intro,multi-head attention,multi-head attention,multi-head attention,component,bigram,NN NN,false,core_method,initial_corpus,2,2,multi-head attention,multi-head attention,nan,Q108750000,pos=fallback
introduction__siamese network,introduction,intro,siamese network,Siamese neural network,siamese network,other,bigram,NN NN,false,background,initial_corpus,2,2,siamese network,siamese network; siamese neural network,https://en.wikipedia.org/wiki/Siamese_neural_network,Q16831193,pos=fallback
methods__embeddings,methods,method,embeddings,embedding,embeddings,component,unigram,NN,false,core_method,both,50,242,embedding; embeddings,embedding; embeddings,https://en.wikipedia.org/wiki/Embedding_%28machine_learning%29,Q133284072,pos=fallback
methods__transformer,methods,method,transformer,transformer,transformer,model,unigram,NN,false,core_method,both,38,170,transformer; transformer architecture; transformer model; transformer models; transformers,transformer; transformer architecture; transformer model; transformer models; transformers,https://en.wikipedia.org/wiki/Transformer_%28deep_learning%29,Q85810444,pos=fallback
methods__training data,methods,method,training data,training set,training data,dataset,bigram,NN NN,false,dataset,both,35,61,training data; training dataset; training set,training data; training dataset; training set,https://en.wikipedia.org/wiki/Training_set,Q3997298,pos=fallback
methods__attention,methods,method,attention,attention,attention,component,unigram,NN,false,core_method,both,30,146,attention; attention mechanism,attention; attention mechanism,https://en.wikipedia.org/wiki/Attention_%28machine_learning%29,Q103701642,pos=fallback
methods__bias,methods,method,bias,prediction bias,bias,component,unigram,NN,false,core_method,both,24,69,bias; model bias,bias; model bias; prediction bias,nan,Q139934379,pos=fallback
methods__sgd,methods,method,sgd,stochastic gradient descent,sgd,other,unigram,NN,false,other,both,23,42,sgd; stochastic gradient descent,sgd; stochastic gradient descent,https://en.wikipedia.org/wiki/Stochastic_gradient_descent,Q7617819,pos=fallback
methods__BERT,methods,method,BERT,bidirectional encoder representations from transformers,BERT,model,unigram,NN,false,core_method,both,20,78,bert,bert; bidirectional encoder representations from transformers,https://en.wikipedia.org/wiki/BERT_%28language_model%29,Q61726893,pos=fallback
methods__gradient descent,methods,method,gradient descent,gradient descent,gradient descent,method,bigram,JJ NN,false,core_method,both,18,25,gradient descent,gradient descent,https://en.wikipedia.org/wiki/Gradient_descent,Q1199743,pos=fallback
methods__convolutional neural networks,methods,method,convolutional neural networks,Convolutional neural network,convolutional neural networks,model,trigram,JJ JJ NN,false,core_method,both,17,40,cnn,cellular neural network; cnn; convolutional neural network; convolutional neural networks,https://en.wikipedia.org/wiki/Cellular_neural_network,Q5058375,pos=fallback
